#{"t_start": 1775473418.6831415, "env_id": "None"}
r,l,t
-122.064055,150,0.942527
-84.528145,150,1.233756
-93.429643,150,1.496388
-148.583049,150,1.760023
-81.106391,150,2.146914
-125.192964,150,2.47268
-127.160989,150,2.887382
-77.528292,150,3.199048
-147.891634,150,3.53197
-113.584252,150,3.805096
-104.49938,150,4.108655
-126.150184,150,4.381276
-127.126169,150,4.711353
-161.946128,150,5.237662
-121.83167,150,5.551812
-146.759495,150,5.809665
-152.076939,150,6.122929
-120.423748,150,6.473778
-87.543035,150,6.788661
-138.633715,150,7.059877
-106.756556,150,7.323989
-130.352693,150,7.57965
-105.169803,150,7.836244
-58.050221,150,8.15242
-101.837889,150,8.473991
-123.360027,150,8.772797
-140.483895,150,9.022957
-79.100018,150,9.574757
-100.568205,150,9.883773
-133.384974,150,10.276386
-86.461475,150,10.610851
-81.235985,150,10.895114
-67.027505,150,11.236772
-91.859517,150,11.507644
-107.093361,150,11.778549
-118.478533,150,12.025561
-89.795792,150,12.293004
-118.730169,150,12.549543
-105.306752,150,12.824849
-104.312911,150,13.126293
-80.813048,150,13.605501
-83.635977,150,13.926814
-77.220613,150,14.206456
-77.721041,150,14.522925
-47.487086,150,14.821778
-75.951631,150,15.088647
-111.987954,150,15.335352
-73.612356,150,15.630827
-99.239666,150,15.890999
-60.960822,150,16.155294
-140.525779,150,16.432041
-64.027736,150,16.699419
-85.723448,150,17.006511
-101.36448,150,17.261931
-76.107845,150,17.747514
-70.273937,150,18.127436
-103.082704,150,18.486498
-76.414644,150,18.80526
-94.235036,150,19.093181
-76.343247,150,19.400561
-60.872714,150,19.692103
-83.381016,150,19.964091
-78.572604,150,20.266371
-112.069745,150,20.552034
-101.873194,150,20.889523
-87.996989,150,21.166299
-90.540712,150,31.488639
-89.917854,150,31.77946
-58.442189,150,32.27955
-58.213768,150,32.671013
-89.765226,150,32.955885
-76.276875,150,33.231852
-133.901644,150,33.572688
-87.812065,150,33.894885
-80.919206,150,34.178397
-99.460486,150,34.466124
-57.726695,150,34.76684
-98.045434,150,35.047448
-75.929251,150,35.370348
-125.243673,150,35.680387
-109.98607,150,36.066019
-94.813726,150,36.661693
-104.203385,150,36.99689
-77.634636,150,37.364615
-71.904871,150,37.701758
-112.548019,150,38.081569
